Original another basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.73,785.49, [1.0,0,0,0,1,2,1,2,1,0,3,3,3,7,6,2,3,8,7,7,9,10,10,11,13,12,13,13,10, 14.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,775.54, [0.0,0,0,0,0,0,0,0,2,3,8,3,4,2,5,5,8,7,8,7,10,14,12,11,12,15,14,13,13, 19.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.57,753.68, [0.0,0,2,5,1,3,1,1,2,0,1,0,1,1,1,0,1,2,2,2,4,5,7,7,10,8,10,10,10, 10.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,760.55, [0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,9,11,15,14,18,16,18,16,19, 17.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.37,750.6, [0.0,0,0,0,0,0,0,2,6,2,3,5,6,5,3,5,7,8,10,10,10,10,10,11,11,13,13,13,15, 13.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.03,756.22, [0.0,0,0,0,8,5,3,1,4,4,4,2,3,4,5,5,4,4,5,5,7,8,10,7,8,7,10,8,10, 10.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,756.64, [0.0,0,0,0,0,0,0,8,0,0,3,4,6,7,7,10,11,12,9,11,13,13,13,15,15,15,14,13,16, 16.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.17,752.02, [0.0,0,0,0,0,1,0,4,3,3,5,5,6,8,6,6,7,7,9,9,16,15,17,13,17,16,19,20,17, 16.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.77,745.74, [0.0,0,0,0,4,5,4,3,5,4,5,5,6,9,8,11,11,13,12,10,10,15,16,12,16,15,15,15,16, 18.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.87,764.6, [0.0,1,0,0,3,0,4,1,2,6,5,4,4,5,6,5,9,7,9,7,15,7,10,9,10,8,8,12,9, 10.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.13,774.13, [0.0,0,0,0,0,1,8,4,5,6,7,8,7,8,8,9,10,10,11,11,12,11,11,11,10,10,8,10,9, 9.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,760.32, [0.0,0,0,0,0,0,0,1,3,1,2,1,2,1,3,1,2,2,6,4,9,7,5,3,3,4,6,7,6, 8.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.97,790.98, [1.0,0,2,1,1,4,0,3,1,4,4,1,1,2,4,2,3,5,5,9,9,14,15,12,13,12,11,13,14, 13.0]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,755.71, [0.0,0,1,2,1,1,1,1,2,1,1,4,4,2,8,6,8,3,7,12,14,11,9,11,13,13,12,13,15, 13.0]
